"interaction_pairs","interaction","value","scram_mean","scram_sd","p_val","cell_type1","cell_type2","interact_ratio","p_val_adj"
"iCAF-secretory_iCAF-secretory","ADAM12_ITGB1",1.12815327284546,0.371661187441238,0.250060241500195,0.00124218213591165,"iCAF-secretory","iCAF-secretory",3.03543472110289,0.0352634878213846
"mCAF-remodeling_T-cells-CD4-Treg","ADAM12_ITGB1",0.894113737279626,0.217823926844385,0.171017646582844,3.83469416925797e-05,"mCAF-remodeling","T-cells-CD4-Treg",4.10475446950502,0.00194210609804263
"mCAF-classical_mCAF-patient4-specific","ADAM12_ITGB1",1.48436120559511,0.315912346707986,0.317994261232411,0.000119188722785379,"mCAF-classical","mCAF-patient4-specific",4.6986489165844,0.00511372731741767
"PVL_mCAF-patient4-specific","ADAM12_ITGB1",0.787727445840348,0.205459774763004,0.15902425868121,0.000125370359800425,"PVL","mCAF-patient4-specific",3.83397405525721,0.00534088976728269
"apCAF-classical_mCAF-patient4-specific","ADAM12_ITGB1",1.0734314358944,0.0969161088660162,0.0636361017140683,0,"apCAF-classical","mCAF-patient4-specific",11.0758825179247,0
"mCAF-remodeling_mCAF-patient4-specific","ADAM12_ITGB1",1.52369024267342,0.287577681127258,0.252228386472936,4.77316021374463e-07,"mCAF-remodeling","mCAF-patient4-specific",5.29836055670524,3.8697629269407e-05
"Macrophages-monocyte-derived_mCAF-patient4-specific","ADAM12_ITGB1",0.704864464296824,0.216537535707899,0.133672060242157,0.000129510673472111,"Macrophages-monocyte-derived","mCAF-patient4-specific",3.25516064451597,0.0054899169964628
"mCAF-patient4-specific_mCAF-patient4-specific","ADAM12_ITGB1",1.5332757329344,0.307181349975004,0.271770028739712,3.21832148009182e-06,"mCAF-patient4-specific","mCAF-patient4-specific",4.99143497174932,0.000216905633413094
"iCAF-classical_Cancer-Basal/Cycl-pat4","ADAM12_SDC4",1.06290899720171,0.206863860490845,0.293827689153708,0.00178743456803476,"iCAF-classical","Cancer-Basal/Cycl-pat4",5.13820536211424,0.0467929135232615
"mCAF-classical_Cancer-Basal/Cycl-pat4","ADAM12_SDC4",1.50728924848225,0.0863721975279217,0.0977739897986662,0,"mCAF-classical","Cancer-Basal/Cycl-pat4",17.4510929630451,0
"mCAF-remodeling_Cancer-Basal/Cycl-pat4","ADAM12_SDC4",1.54661828556056,0.112147583331211,0.138919256705403,0,"mCAF-remodeling","Cancer-Basal/Cycl-pat4",13.7909194261713,0
"iCAF-secretory_Cancer-Basal/Cycl-pat4","ADAM12_SDC4",1.47403508700426,0.101242736082936,0.142790109511087,0,"iCAF-secretory","Cancer-Basal/Cycl-pat4",14.5594157569662,0
"mCAF-patient4-specific_Cancer-Basal/Cycl-pat4","ADAM12_SDC4",1.55620377582154,0.29957907676214,0.37676463417068,0.000426030540211397,"mCAF-patient4-specific","Cancer-Basal/Cycl-pat4",5.19463439383364,0.014855319626164
"mCAF-remodeling_LumProgenitors-shared","ADAM12_SDC4",1.07680447882262,0.12681107500123,0.142609186020762,1.35508271270623e-11,"mCAF-remodeling","LumProgenitors-shared",8.49140722773763,2.20181626636988e-09
"mCAF-classical_LumProgenitors-Cycl-pat4","ADAM12_SDC4",1.30273905895905,0.303260155438779,0.30716885428661,0.000569278028799691,"mCAF-classical","LumProgenitors-Cycl-pat4",4.295780489442,0.0188131073988766
"mCAF-plastic_LumProgenitors-Cycl-pat4","ADAM12_SDC4",0.905196598932507,0.16651613269551,0.234698007407911,0.000823743750062556,"mCAF-plastic","LumProgenitors-Cycl-pat4",5.43608949042638,0.0253893621594623
"mCAF-patient4-specific_LumProgenitors-Cycl-pat4","ADAM12_SDC4",1.35165358629834,0.336831766072906,0.291822834210543,0.000253030926637199,"mCAF-patient4-specific","LumProgenitors-Cycl-pat4",4.01284475647045,0.00967278200280806
"iCAF-secretory_mCAF-classical","ADAM12_SDC4",0.817878011212784,0.0631534127365069,0.0626124201288381,0,"iCAF-secretory","mCAF-classical",12.9506542207813,0
"mCAF-remodeling_Endothelial","ADAM12_SDC4",0.86200503474163,0.196689062645202,0.197749718669405,0.000383503464829849,"mCAF-remodeling","Endothelial",4.38257736932002,0.0136225784141886
"mCAF-remodeling_pDCs","ADAM12_SDC4",0.827756316281658,0.107851735924231,0.131543660660379,2.21561903268608e-08,"mCAF-remodeling","pDCs",7.67494662175102,2.29953177099611e-06
"mCAF-patient4-specific_B-cells-activated","ADAM12_SDC4",0.837341806542637,0.0671439463914641,0.0388194140687049,0,"mCAF-patient4-specific","B-cells-activated",12.4708458698681,0
